Team,Weighted Score,Avg Auto Pieces,Max Auto Pieces,Avg Teleop Pieces,Avg Teleop Speaker,Avg Teleop Amp,Avg Shuttle,Max Teleop Pieces,Max Teleop Speaker,Max Teleop Amp,Climb OnStage %,Climb and Trap%,Climb Spotlight %,Climb Harmony %,Endgame Park %,Avg Points,Max Points,Scout Flagged Matches,# Chargers,Drive Train,Frame Dimensions,Robustness Rating (0-5)
201,10.750,0.667,1,0.667,0.000,0.667,4.000,2,0,2,33.3%,0.0%,0.0%,0.0%,33.3%,3.333,5,0,0,0,0,0
325,30.917,0.000,0,7.667,6.667,1.000,0.000,9,9,3,33.3%,0.0%,0.0%,0.0%,0.0%,15.333,18,0,0,0,0,0
494,22.083,2.000,3,0.667,0.667,0.000,6.333,2,2,0,33.3%,33.3%,0.0%,0.0%,33.3%,8.333,15,0,0,0,0,0
525,38.083,3.333,4,5.333,4.000,1.333,0.000,8,5,4,33.3%,0.0%,0.0%,0.0%,33.3%,17.333,23,0,0,0,0,0
589,24.417,0.333,1,6.000,3.333,2.667,0.000,7,5,5,33.3%,0.0%,0.0%,0.0%,33.3%,11.333,12,0,0,0,0,0
801,24.000,0.333,1,5.667,4.667,1.000,0.000,8,8,3,1.0%,0.0%,33.3%,0.0%,66.7%,11.667,17,0,0,0,0,0
973,33.833,0.667,2,7.000,5.000,2.000,4.000,9,7,6,1.0%,0.0%,0.0%,0.0%,100.0%,14.333,17,0,0,0,0,0
1414,21.500,1.333,2,4.000,2.667,1.333,0.000,9,5,4,0.0%,0.0%,0.0%,0.0%,33.3%,9.667,16,0,0,0,0,0
1477,48.667,3.667,4,7.333,3.667,3.667,0.000,9,5,5,66.7%,1.0%,66.7%,66.7%,33.3%,22.667,27,0,0,0,0,0
1683,45.500,2.000,3,8.000,8.000,0.000,3.333,9,9,0,0.0%,0.0%,0.0%,0.0%,33.3%,20.333,24,0,0,0,0,0
1684,39.750,1.000,1,7.667,7.000,0.667,0.333,9,7,2,100.0%,0.0%,0.0%,33.3%,0.0%,20.333,21,0,0,0,0,0
1701,48.833,3.000,5,5.667,5.333,0.333,8.333,7,6,1,66.7%,0.0%,0.0%,33.3%,0.0%,19.667,26,0,0,0,0,0
1706,63.200,4.133,6,9.733,5.533,4.200,3.200,14,10,6,13.3%,66.7%,20.0%,0.0%,13.3%,29.600,44,0,0,0,0,0
1747,35.083,1.000,1,6.000,6.000,0.000,2.333,10,10,0,100.0%,0.0%,0.0%,0.0%,0.0%,17.000,25,0,0,0,0,0
1756,49.833,1.667,4,10.333,6.333,4.000,0.667,11,7,5,1.0%,66.7%,0.0%,0.0%,33.3%,23.667,29,0,0,0,0,0
1768,43.500,2.000,2,9.333,5.000,4.333,0.333,11,5,6,1.0%,0.0%,0.0%,0.0%,33.3%,18.667,20,0,0,0,0,0
1787,32.417,2.000,4,5.000,2.667,2.333,1.667,7,4,3,33.3%,33.3%,0.0%,0.0%,33.3%,14.667,16,0,0,0,0,0
1796,59.047,5.250,6,6.813,4.063,2.750,4.125,12,7,6,31.3%,50.0%,12.5%,0.0%,12.5%,26.313,36,0,0,0,0,0
1816,45.500,1.333,2,11.000,5.667,5.333,0.000,14,9,6,0.0%,0.0%,0.0%,0.0%,33.3%,19.667,26,0,0,0,0,0
1899,31.917,3.000,3,5.333,5.333,0.000,0.000,7,7,0,33.3%,0.0%,0.0%,0.0%,66.7%,21.333,24,0,0,0,0,0
2035,6.500,0.000,0,1.500,1.500,0.000,0.000,3,3,0,1.0%,0.0%,0.0%,0.0%,100.0%,4.000,7,0,0,0,0,0
2375,9.500,0.000,0,3.000,0.000,3.000,0.000,4,0,4,1.0%,0.0%,0.0%,0.0%,100.0%,4.000,5,0,0,0,0,0
2429,11.500,0.000,0,3.667,0.000,3.667,0.000,5,0,5,1.0%,0.0%,0.0%,0.0%,100.0%,4.667,6,0,0,0,0,0
2438,22.250,2.000,3,3.333,1.000,2.333,0.000,6,2,4,33.3%,0.0%,0.0%,0.0%,0.0%,9.333,14,0,0,0,0,0
2582,49.950,3.200,4,9.200,4.400,4.800,0.600,14,6,8,20.0%,0.0%,20.0%,0.0%,80.0%,21.600,32,0,0,0,0,0
2642,40.167,1.333,2,9.667,4.000,5.667,0.000,10,7,7,0.0%,0.0%,0.0%,0.0%,100.0%,17.333,20,0,0,0,0,0
2659,32.000,0.667,1,7.333,4.000,3.333,0.000,10,5,5,66.7%,0.0%,0.0%,0.0%,33.3%,15.000,18,0,0,0,0,0
2851,33.917,1.333,2,8.000,2.000,6.000,0.000,9,3,7,33.3%,0.0%,0.0%,0.0%,0.0%,13.667,14,0,0,0,0,0
2875,10.167,0.333,1,2.000,2.000,0.000,0.000,6,6,0,1.0%,0.0%,0.0%,0.0%,100.0%,5.667,15,0,0,0,0,0
2959,36.500,1.333,2,7.667,4.333,3.333,0.000,8,5,4,66.7%,0.0%,0.0%,0.0%,0.0%,16.667,19,0,0,0,0,0
3061,29.333,1.667,3,4.667,4.667,0.000,2.000,8,8,0,0.0%,0.0%,0.0%,0.0%,66.7%,13.333,17,0,0,0,0,0
3132,45.333,2.667,4,7.000,7.000,0.000,0.000,9,9,0,66.7%,0.0%,0.0%,66.7%,33.3%,23.000,31,0,0,0,0,0
3136,12.750,1.000,1,0.667,0.667,0.000,3.667,2,2,0,33.3%,0.0%,0.0%,0.0%,33.3%,4.667,9,0,0,0,0,0
3193,18.583,1.000,1,3.667,1.333,2.333,0.000,7,2,5,33.3%,0.%,0.0%,0.0%,0.0%,8.000,14,0,0,0,0,0
3637,10.000,1.000,1,0.000,0.000,0.000,5.000,0,0,0,1.0%,0.0%,0.0%,0.0%,0.0%,2.000,2,0,0,0,0,0
3647,63.944,6.000,5,9.889,8.889,1.000,3.111,13,12,2,22.2%,0.0%,0.0%,11.1%,33.3%,30.556,37,0,0,0,0,0
4145,34.333,2.000,2,6.000,4.333,1.667,1.667,8,6,2,0.0%,0.0%,0.0%,0.0%,66.7%,15.000,19,0,0,0,0,0
4188,38.250,1.333,3,8.333,5.000,3.333,0.333,9,6,5,33.3%,0.0%,0.0%,0.0%,0.0%,17.000,19,0,0,0,0,0
4342,38.667,2.333,4,6.333,5.333,1.000,0.000,7,6,2,66.7%,0.0%,0.0%,0.0%,33.3%,18.667,22,0,0,0,0,0
4372,21.500,1.000,1,5.000,0.000,5.000,1.000,5,0,5,1.0%,0.0%,0.0%,0.0%,100.0%,8.000,8,0,0,0,0,0
4381,24.667,1.000,2,5.667,2.333,3.333,0.000,9,4,5,1.0%,0.0%,0.0%,0.0%,66.7%,10.667,16,0,0,0,0,0
4391,49.333,3.000,4,8.667,8.000,0.667,0.000,11,10,1,1.0%,0.0%,0.0%,0.0%,66.7%,23.333,29,0,0,0,0,0
4405,31.000,2.333,3,3.333,1.333,2.000,4.667,8,2,6,66.7%,0.0%,0.0%,33.3%,33.3%,12.333,19,0,0,0,0,0
4450,42.833,2.333,3,8.333,3.667,4.667,0.000,10,5,6,66.7%,0.0%,0.0%,0.0%,0.0%,18.667,19,0,0,0,0,0
4451,39.833,3.667,4,5.333,5.333,0.000,0.000,8,8,0,1.0%,0.0%,0.0%,0.0%,33.3%,18.333,24,0,0,0,0,0
4611,48.417,1.333,2,10.333,7.000,3.333,0.000,12,9,4,100.0%,0.0%,0.0%,0.0%,0.0%,23.000,26,0,0,0,0,0
4766,59.125,3.625,4,6.000,2.500,3.500,0.375,16,7,10,75.0%,0.0%,0.0%,0.0%,12.5%,26.125,35,0,0,0,0,0
4944,24.417,0.333,1,5.667,2.000,3.667,0.000,8,3,6,100.0%,0.0%,0.0%,0.0%,0.0%,11.333,14,0,0,0,0,0
4952,19.083,0.667,1,4.667,0.333,4.333,0.000,5,1,5,33.3%,0.0%,0.0%,0.0%,33.3%,7.667,10,0,0,0,0,0
5010,45.125,1.500,2,10.000,5.500,4.500,0.000,10,6,5,50.0%,0.0%,0.0%,0.0%,50.0%,20.500,22,0,0,0,0,0
5126,15.500,1.000,2,2.667,2.333,0.333,0.000,5,5,1,0.0%,0.0%,0.0%,0.0%,33.3%,7.333,14,0,0,0,0,0
5406,47.500,3.000,4,8.000,6.000,2.000,0.000,11,8,3,66.7%,0.0%,0.0%,0.0%,0.0%,22.000,30,0,0,0,0,0
5436,42.083,2.667,4,7.667,4.333,3.333,0.000,9,6,5,33.3%,0.0%,0.0%,0.0%,33.3%,18.667,22,0,0,0,0,0
5584,38.667,3.000,4,7.333,1.333,6.000,0.000,10,3,7,1.0%,0.0%,0.0%,0.0%,66.7%,15.333,22,0,0,0,0,0
5587,32.417,0.333,1,7.333,4.333,3.000,0.000,8,6,4,100.0%,0.0%,0.0%,33.3%,0.0%,16.000,18,0,0,0,0,0
5665,24.167,1.000,1,4.667,4.667,0.000,0.000,6,6,0,0.0%,0.0%,0.0%,0.0%,100.0%,12.333,15,0,0,0,0,0
5813,44.667,3.000,5,6.667,4.667,2.000,0.000,8,6,4,1.0%,100.0%,0.0%,0.0%,0.0%,22.333,27,0,0,0,0,0
6017,17.500,1.000,1,3.333,2.333,1.000,0.000,5,3,2,1.0%,0.0%,0.0%,0.0%,33.3%,8.000,11,0,0,0,0,0
7021,44.625,1.500,2,10.000,5.000,5.000,0.000,13,6,7,50.0%,0.0%,0.0%,0.0%,50.0%,20.000,22,0,0,0,0,0
7312,46.333,2.000,3,9.000,9.000,0.000,0.000,11,11,0,1.0%,0.0%,33.3%,0.0%,0.0%,22.000,26,0,0,0,0,0
7419,14.333,0.333,1,2.667,1.333,1.333,0.000,5,3,4,66.7%,0.0%,0.0%,33.3%,33.3%,7.667,11,0,0,0,0,0
8738,32.583,1.000,1,7.667,3.333,4.333,0.000,9,4,5,33.3%,0.0%,0.0%,0.0%,0.0%,14.000,15,0,0,0,0,0
9120,1.000,0.000,0,0.000,0.000,0.000,0.667,0,0,0,0.0%,0.0%,0.0%,0.0%,66.7%,0.667,1,0,0,0,0,0
9128,48.500,2.500,3,6.000,5.000,1.000,9.250,11,7,4,100.0%,0.0%,0.0%,0.0%,0.0%,19.000,25,0,0,0,0,0
9545,29.000,0.500,1,6.500,6.500,0.000,0.000,8,8,0,0.0%,0.0%,0.0%,0.0%,100.0%,15.000,19,0,0,0,0,0
9579,12.500,0.000,0,3.000,3.000,0.000,0.000,3,3,0,0.0%,0.0%,0.0%,0.0%,100.0%,7.000,7,0,0,0,0,0
9593,16.000,1.000,1,3.000,2.000,1.000,0.000,3,2,1,0.0%,0.0%,0.0%,0.0%,0.0%,7.000,7,0,0,0,0,0
9644,7.071,0.286,1,0.571,0.571,0.000,0.714,2,2,0,57.1%,0.0%,42.9%,0.0%,14.3%,4.000,8,0,0,0,0,0
9739,10.833,1.667,2,0.000,0.000,0.000,0.000,0,0,0,66.7%,0.0%,0.0%,0.0%,0.0%,5.333,7,0,0,0,0,0
9758,13.833,0.667,1,1.667,1.667,0.000,3.667,2,2,0,0.0%,0.0%,0.0%,0.0%,33.3%,5.000,6,0,0,0,0,0
9785,9.250,0.667,1,1.000,1.000,0.000,0.333,3,3,0,33.3%,0.0%,0.0%,0.0%,66.7%,5.000,11,0,0,0,0,0
4020,28.500,1.500,2,4.500,4.500,0.000,2.500,5,5,0,1.0%,0.0%,50.0%,0.0%,0.0%,12.000,14,0,0,0,0,0
4112,26.500,3.000,4,3.500,1.000,2.500,0.000,5,1,4,0.0%,0.0%,0.0%,0.0%,0.0%,10.500,11,0,0,0,0,0
4118,12.375,0.000,0,3.000,0.500,2.500,0.000,5,1,5,50.0%,0.0%,0.0%,50.0%,0.0%,6.000,10,0,0,0,0,0
8,0.000,2.000,0,6.000,6.000,0.000,0.000,0,0,0,1.0%,0.0%,0.0%,0.0%,0.0%,0.000,0,0,0,0,0,0
2877,0.000,2.000,0,6.000,6.000,0.000,0.000,0,0,0,1.0%,0.0%,0.0%,0.0%,0.0%,0.000,0,0,0,0,0,0